"vCenter";"HostName";"ESXi_Version";"HostSockets";"HostCoresPerSocket";"HostMemoryGB";"HostPowerPolicy";"VMName";"VMNumSockets";"VMCoresPerSocket";"vCPUs";"VMMemoryGB";"VMCPUsOptimized";"OptimalSockets";"OptimalCores"
"vcenter.kazpost.kz";"esxkos.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2012 - DCKOS01";"8";"1";"8";"12";"NO";"1";"8"
"vcenter.kazpost.kz";"172.30.73.127";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 104";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.101";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 132";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.127";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 133";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.144";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 148";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"esxkos.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2008 - MAILKOS";"4";"2";"8";"12";"NO";"1";"8"
"vcenter.kazpost.kz";"esxkos.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2008 - KOSSRV";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"esxkos.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2008 - SCCMKOS";"1";"2";"2";"8";"YES";"1";"2"
"vcenter.kazpost.kz";"esxkos.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"CentOS 7 Zabbix Proxy KOS";"2";"1";"2";"4";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.116";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 81";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.129";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 82";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"esxkos.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2012 - DCKOS02";"8";"1";"8";"12";"NO";"1";"8"
"vcenter.kazpost.kz";"172.30.73.127";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 85";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.104";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp678-009";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.142";"6.5.0";"2";"22";"512";"Balanced";"Win 2012 - Stefi_clone";"1";"4";"4";"8";"YES";"1";"4"
"vcenter.kazpost.kz";"172.30.73.109";"6.5.0";"2";"22";"512";"Balanced";"Win 2012 - Sortirovka1";"16";"1";"16";"16";"NO";"1";"16"
"vcenter.kazpost.kz";"172.30.73.101";"6.5.0";"2";"22";"512";"Balanced";"Win 2012 - Sortirovka2";"2";"4";"8";"16";"NO";"1";"8"
"vcenter.kazpost.kz";"172.30.73.86";"6.5.0";"2";"22";"512";"Balanced";"Cisco Prime LAN Management Solution";"2";"1";"2";"4";"NO";"1";"2"
"vcenter.kazpost.kz";"esxkrg.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2012 - DCKRG02";"8";"1";"8";"12";"NO";"1";"8"
"vcenter.kazpost.kz";"esxkrg.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2012 - DCKRG01";"8";"1";"8";"12";"NO";"1";"8"
"vcenter.kazpost.kz";"172.30.73.101";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 75";"2";"2";"4";"8";"NO";"1";"4"
